id,year,best,high,low
94144,2000,2,2,2
94145,2000,1,1,1
94146,2000,3,3,3
94147,2000,1,1,1
94148,2000,2,2,2
94151,2000,1,1,1
94152,2000,1,1,0
94230,2011,3,3,3
94154,2000,1,1,1
94155,2000,2,2,2
94225,2006,5,5,5
94228,2011,8,8,8
94232,2011,2,2,2
94377,2006,2,2,2
94282,2012,2,2,2
94287,1993,7,7,7
94288,1994,1,1,1
94289,1995,5,5,5
94290,1995,4,4,4
94295,1996,6,6,5
94364,2005,1,1,0
94365,2006,2,2,2
94368,2006,1,1,1
94370,2006,4,4,4
94371,2012,1,1,1
94372,2003,2,2,2
94376,2006,1,1,1
94459,2001,2,2,2
94463,2009,3,3,3
94464,2009,3,3,0
94465,2009,1,1,1
94466,2009,0,2,0
94467,2009,1,1,1
94469,2009,0,1,0
94474,2012,1,1,1
94475,2012,1,1,1
94478,2012,1,1,1
94479,2012,1,1,1
94480,2012,1,1,1
94481,2012,1,1,1
94497,1993,3,3,3
94523,2001,5,5,5
94527,2001,4,4,4
94536,2003,3,3,3
94542,2003,5,5,5
94549,2005,3,3,3
94550,2005,3,3,3
94559,2009,2,2,2
94560,2009,4,4,4
94561,2009,1,1,1
94563,2010,1,1,1
94566,2010,1,1,1
94567,2012,1,1,1
94579,1999,2,2,2
94603,2010,0,2,0
94604,2010,0,2,0
94606,2006,2,2,2
96455,2011,1,1,1
94607,2000,2,2,2
94608,2006,2,2,2
95463,2010,0,2,0
95464,2010,3,3,3
95487,1991,3,3,3
95489,1991,6,6,6
95603,1995,4,4,4
95604,1995,10,10,10
95606,2001,2,2,2
95620,2006,6,6,6
95621,2006,2,2,2
96456,2011,1,1,1
95624,2006,3,3,3
95626,2006,3,3,3
95665,1989,0,1,0
96451,2011,1,1,1
96453,2011,1,1,1
97251,1990,0,3,0
96463,2012,1,1,1
96464,2012,1,1,1
96498,2001,10,10,7
96650,1999,2,2,2
96652,1999,0,4,0
96653,1999,5,5,5
96654,1999,1,1,0
96874,2009,1,1,1
96877,1999,3,3,3
96891,2012,5,5,0
96893,2012,1,1,1
96894,2012,1,1,1
96895,2012,1,1,1
96897,2012,1,1,1
97027,1996,1,1,1
97028,1996,2,2,2
97031,1998,7,7,7
97032,2000,1,1,1
97033,1999,5,5,5
97034,2000,1,1,1
97035,2000,1,1,1
97036,2001,1,1,1
97037,2001,1,1,1
97040,2000,2,2,2
97252,1990,3,3,3
97253,1990,1,1,1
97041,2000,1,1,1
97043,2000,1,1,1
97044,2000,1,1,1
97045,2000,1,1,1
97046,2000,1,1,1
97047,2000,1,1,1
97048,2000,1,1,1
97049,2000,1,1,1
97050,2000,2,2,2
97249,1989,1,1,1
97257,1991,1,1,1
97258,1991,1,1,1
97261,1991,2,2,2
97262,1994,1,1,1
97263,1996,5,5,5
97265,1997,3,3,3
97271,1999,0,9,0
97273,1999,0,1,0
97274,1999,3,3,3
97307,2003,1,1,1
97308,2003,1,1,1
97309,2003,1,1,1
97310,2002,2,2,2
97316,2005,4,4,4
97317,2005,0,1,0
100739,1994,2,2,0
108080,2005,2,3,2
108876,2010,1,1,1
112744,1992,1,1,1
112747,1996,3,3,3
150017,2014,1,1,1
84411,2003,1,1,1
87641,2002,5,5,5
86917,2002,8,8,8
84768,2002,4,4,4
84769,2002,3,3,3
84770,2002,3,3,3
85206,2002,2,2,2
87915,2004,2,2,2
84784,2002,1,1,1
84786,2002,2,2,2
85207,2002,4,4,4
88460,2002,2,2,2
85866,2002,3,3,3
89650,2002,2,2,2
82268,2007,1,1,1
85111,2005,2,2,2
82539,2008,2,2,2
208075,2015,1,1,1
210158,2015,1,1,1
210164,2015,4,4,4
210242,2015,2,2,2
210189,2015,1,1,1
210194,2015,1,1,1
210195,2015,1,1,1
210241,2015,1,1,1
210245,2015,1,1,1
213007,2015,1,1,1
213013,2015,1,1,1
224977,2015,2,2,2
53237,1995,1,1,1
85041,2010,1,1,1
61646,2013,6,6,0
61653,2013,2,2,2
61667,2013,1,1,0
61852,2013,2,2,0
67860,2013,1,1,1
72366,2007,1,1,0
72433,2007,1,1,1
72434,2007,1,1,1
72958,2008,1,1,1
72959,2008,1,1,1
82380,2007,1,1,0
85042,2011,1,1,1
78717,2007,1,1,1
82386,2007,7,7,0
87912,1991,0,2,0
82387,2007,1,1,1
81754,2007,1,1,1
82269,2007,3,3,3
82383,2007,1,1,1
84968,2009,2,2,2
84972,2006,1,1,1
84975,2006,2,2,2
85043,2009,1,1,0
85692,2003,1,1,1
85693,2003,4,4,4
86351,2010,1,1,0
87180,2005,1,1,1
87289,2003,2,2,2
87291,1991,5,5,5
87327,2004,3,3,3
87329,2009,1,1,1
87330,2011,3,3,3
87331,2003,1,1,1
87938,2010,1,1,1
88159,2004,1,1,1
88179,2006,2,2,2
88192,2005,1,1,1
88193,2006,1,1,1
88194,2006,2,2,2
88195,2006,1,1,1
88255,2000,0,1,0
88462,2001,6,6,0
88798,2003,0,1,0
88832,2010,1,1,0
89307,2005,3,3,3
89455,2011,3,3,3
89460,2011,4,4,4
89461,2011,1,1,1
89540,2003,4,4,4
90047,2005,0,11,0
90103,2006,1,1,1
90222,2010,0,2,0
90618,2009,0,1,0
95472,2012,2,2,2
93850,2011,1,1,1
93983,2010,2,2,2
93984,2010,2,2,2
93985,2011,1,1,1
94208,2009,1,1,1
94360,2003,3,3,3
94362,2004,5,5,5
96625,1996,0,8,0
94517,1998,7,7,7
94519,1999,1,1,1
94625,1992,3,3,3
94928,1992,1,1,1
94936,1993,1,1,1
94987,1991,1,1,1
94990,1993,2,2,2
95203,2002,1,1,1
95366,2011,2,2,2
95419,2001,2,2,2
84581,2002,1,1,1
95420,2002,1,1,1
95470,2012,3,3,3
95623,2006,1,1,1
95663,1989,0,1,0
95664,2003,5,7,0
95899,1999,1,1,1
96540,1999,1,1,1
96541,1999,9,9,9
96597,2002,4,4,4
96626,1996,9,9,9
96696,2006,1,1,1
96750,1999,3,3,3
96872,2001,4,4,0
96873,2001,4,4,0
96934,2012,1,1,1
97315,2005,2,2,2
100690,2005,2,4,2
100737,1994,1,1,1
100732,1994,11,11,8
147961,2014,2,2,0
149120,2014,1,1,0
149194,2014,0,1,0
150308,2014,1,1,1
157389,2014,1,1,1
157523,2014,1,1,1
157815,2014,0,2,0
158792,2005,1,2,1
210959,2015,1,1,1
72670,2007,2,2,2
85881,2002,2,2,2
85895,2002,1,1,1
89922,2002,2,2,2
86029,2002,1,1,1
86030,2002,2,2,2
86031,2002,2,2,2
86037,2002,1,1,1
86038,2002,1,1,1
86701,2002,1,1,1
89923,2002,1,1,1
86041,2003,5,5,5
86042,2003,1,1,1
72655,2007,2,2,2
86709,2003,5,5,5
87054,2002,2,2,2
84484,2009,1,1,1
87055,2002,1,1,1
85053,1999,1,1,1
85054,2004,1,1,1
87074,2002,2,2,2
85158,2004,2,2,2
85156,2004,4,4,4
94757,2000,12,12,12
85112,2004,4,4,4
94807,1989,3,3,3
85129,2004,3,3,3
94758,2000,2,2,2
94759,2000,1,1,1
94760,2000,2,2,2
85157,2004,2,2,2
87076,2002,4,4,4
90944,1989,4,4,0
94234,2011,3,3,3
94280,1994,5,5,5
94301,1998,2,2,2
48692,2000,3,3,3
94281,2012,3,3,3
94761,2000,1,1,1
85173,2004,1,1,1
94302,1998,3,3,3
94762,2000,3,3,3
94809,1989,1,1,1
94763,2000,2,2,2
94764,2000,1,1,1
94765,2000,2,2,2
94766,1990,2,2,2
94767,1990,53,53,53
71797,2008,2,2,2
84522,2003,1,1,1
85202,2003,3,3,3
85203,2002,1,1,1
82287,2007,3,3,3
84523,2003,1,1,1
84650,2006,1,1,1
96534,1997,11,11,11
96535,1997,8,8,8
96863,1994,2,2,2
96864,1994,16,16,16
85204,2002,1,1,1
87078,2002,3,3,3
96865,1994,7,7,7
85225,2003,2,2,2
85222,2002,3,3,3
85224,2002,4,4,4
96867,1994,0,25,0
96869,1996,30,30,30
97121,1992,5,5,5
85223,2002,1,1,1
95661,2003,2,2,0
86901,2006,1,1,1
87080,2002,1,1,1
87095,2002,1,1,1
85512,2003,4,4,4
85513,2003,2,2,2
85561,1991,3,3,3
85514,2004,1,1,1
51770,1999,3,3,3
51771,1999,3,3,3
51775,2003,2,2,2
87097,2003,6,6,6
87111,2002,1,1,1
52194,1999,17,17,17
52172,2003,2,2,2
52201,1999,1,1,1
52247,1992,0,5,0
52270,1999,1,1,1
52271,1999,31,31,31
52275,2003,1,1,1
52277,2003,3,3,3
85590,2003,4,5,4
87209,2002,1,1,1
52679,2003,1,1,1
52680,2003,4,4,4
52683,2003,3,3,3
52694,1999,6,6,6
52695,1999,11,11,11
52702,1999,11,11,11
52723,2003,2,2,2
52757,1999,37,37,37
52788,1999,1,1,1
52789,1999,3,3,3
85753,1990,2,2,2
85769,2003,3,3,3
85825,2004,2,2,2
85826,2004,3,3,3
56917,1999,1,1,1
56920,2002,0,16,0
56921,2003,9,9,9
56924,2003,1,1,1
85828,2004,6,6,6
85842,2002,4,4,4
85843,2002,2,2,2
85844,2002,1,1,1
85846,2004,1,1,1
86047,2003,2,2,2
86048,2003,4,4,4
87215,2002,3,3,3
87216,2002,4,4,4
87217,2002,1,1,1
87218,2002,3,3,3
59218,1990,0,4,0
59247,1990,0,2,0
87861,2004,2,2,2
72370,2007,1,1,1
85235,2002,5,5,5
86095,1990,2,2,2
87221,2002,2,2,2
60366,2003,1,1,1
60376,2003,1,1,1
60383,1999,23,23,23
60384,1999,4,4,4
60413,2003,1,1,1
60444,1999,5,5,5
86187,1990,11,11,11
65389,2013,3,3,3
88759,2002,3,3,3
71897,2007,1,1,1
82244,2007,9,9,9
66148,2013,5,5,5
87226,2003,1,1,1
61630,2013,1,1,1
61637,2013,1,1,1
61662,2013,1,1,0
61701,2013,1,1,0
61643,2013,14,15,14
61705,2013,1,1,0
61706,2013,2,2,2
94303,1998,1,1,1
61729,2013,6,6,6
84579,2002,1,1,1
61795,2013,1,1,0
67333,2013,3,3,3
61822,2013,1,1,0
61810,2013,1,1,0
61818,2013,1,1,0
87301,2001,0,2,0
84335,2004,6,6,6
94379,2006,1,1,1
94380,2006,1,1,1
94381,2010,2,2,0
84582,2002,2,2,2
84583,2002,1,1,1
94473,1993,3,3,3
84584,2002,2,2,2
94494,1993,2,2,2
86190,1990,2,2,2
96454,2011,1,1,1
87302,2001,0,2,0
94581,2000,4,4,4
72437,2007,1,1,1
94582,2000,2,2,2
87303,2001,4,4,4
87304,2002,1,1,1
87305,2002,4,4,4
94584,2003,1,1,1
72571,2007,2,2,2
84585,2002,3,3,3
84586,2002,1,1,1
87306,2002,2,2,2
94612,2009,1,1,1
92815,2003,5,5,5
94965,1994,1,1,1
71874,2007,1,1,1
94966,1994,2,2,2
92850,2002,1,1,1
84570,2003,1,1,1
65503,2013,1,1,1
63841,2013,3,3,0
63842,2013,1,1,0
88062,2003,1,1,1
63921,2013,1,1,1
84498,1990,3,3,3
63862,2013,8,8,8
63869,2013,1,1,0
63902,2013,2,2,2
63911,2013,2,2,2
63924,2013,2,2,2
87307,2003,1,1,1
86239,2006,1,1,1
64036,2013,1,1,1
85357,1992,16,16,16
72365,2007,2,2,2
64126,2013,2,2,2
94967,1994,4,4,4
94982,1989,2,2,2
92851,2002,1,1,1
86240,2004,1,1,1
72156,2007,1,1,1
64212,2013,1,1,1
72678,2007,4,4,4
64228,2013,2,2,2
64214,2013,7,7,7
88078,2002,3,3,3
64271,2013,1,1,1
88079,2002,1,1,1
64715,2013,1,1,0
64747,2013,2,2,2
64338,2013,0,1,0
64371,2013,1,1,1
64376,2013,1,1,0
64387,2013,1,1,1
72912,2007,4,4,4
64382,2013,1,1,1
89373,2002,1,1,1
64459,2013,1,1,1
64677,2013,1,1,1
64679,2013,1,1,1
64492,2013,5,7,5
64502,2013,5,5,5
72243,2007,1,1,1
64547,2013,1,1,1
89386,2003,2,2,2
89387,2003,3,3,3
64788,2013,4,4,4
64789,2013,2,2,2
64818,2013,2,2,0
64952,2013,3,3,3
64804,2013,3,7,3
89388,2003,4,4,4
64966,2013,1,2,1
86241,2004,1,1,1
95371,2011,1,1,1
65032,2013,9,9,9
89639,2002,2,2,2
65891,2013,1,1,1
65064,2013,1,1,1
65128,2013,5,5,5
65083,2013,1,1,1
88080,2002,4,4,4
65170,2013,1,1,1
65476,2013,3,3,3
65339,2013,1,1,1
65404,2013,2,2,2
89389,2003,3,3,3
95372,2011,3,3,3
65174,2013,30,30,30
65438,2013,1,1,1
65434,2013,1,1,1
65467,2013,3,3,0
73159,2008,3,3,3
89638,2002,1,1,1
65710,2013,1,1,1
65881,2013,5,5,5
65582,2013,0,8,0
65595,2013,6,6,6
65908,2013,2,2,2
65925,2013,1,1,1
65713,2013,0,1,0
65830,2013,4,4,4
65846,2013,6,6,6
65862,2013,2,2,0
65926,2013,1,1,1
65957,2013,1,1,1
65986,2013,1,1,1
89640,2002,1,1,1
66004,2013,1,1,1
66006,2013,1,1,1
66002,2013,1,1,1
66007,2013,5,5,5
66014,2013,1,1,1
66071,2013,1,1,1
66180,2013,1,1,1
71776,2008,1,1,1
66069,2013,1,1,1
66088,2013,0,1,0
66101,2013,1,1,1
66121,2013,4,4,4
66105,2013,1,1,1
66109,2013,1,2,1
66133,2013,3,3,3
66134,2013,6,6,6
66160,2013,1,1,1
66162,2013,1,1,1
66583,2013,5,5,5
66184,2013,4,4,4
66185,2013,2,2,2
66183,2013,1,1,1
66187,2013,1,1,1
96890,2012,2,2,0
66565,2013,1,1,1
66567,2013,1,1,1
66566,2013,1,1,1
66568,2013,4,4,4
66569,2013,2,2,2
66570,2013,2,2,2
66572,2013,1,1,1
66584,2013,1,1,1
66587,2013,5,5,5
66593,2013,2,2,2
66597,2013,1,1,1
66675,2013,0,1,0
95614,2006,0,1,0
66628,2013,1,1,1
66632,2013,4,4,4
66688,2013,1,1,1
66692,2013,1,1,1
66646,2013,3,3,3
66648,2013,5,5,5
66649,2013,4,4,4
67172,2013,1,1,1
66650,2013,1,1,1
66658,2013,2,2,2
66660,2013,8,8,8
66662,2013,28,28,28
86301,2003,2,2,0
66687,2013,1,1,1
66697,2013,1,1,1
66732,2013,1,1,1
66765,2013,1,1,1
66874,2013,1,1,1
66793,2013,2,2,2
66786,2013,13,13,13
67171,2013,1,1,1
66795,2013,2,2,2
66796,2013,2,2,2
66820,2013,1,1,1
66875,2013,1,1,1
66906,2013,1,1,1
66949,2013,5,5,5
67185,2013,1,1,1
67198,2013,1,1,1
66951,2013,7,7,7
86332,2004,3,3,3
87507,2001,0,3,0
87309,2003,3,3,0
66956,2013,2,2,2
67014,2013,1,1,0
67181,2013,1,1,1
67023,2013,3,3,0
86453,2004,5,5,5
71829,2008,3,3,3
67164,2013,1,1,1
67202,2013,3,3,3
67203,2013,7,7,7
67205,2013,1,1,1
71831,2008,2,2,2
67206,2013,4,4,4
67207,2013,1,1,1
67218,2013,1,1,1
67220,2013,1,1,1
67222,2013,1,1,1
67254,2013,2,2,2
67259,2013,1,1,1
67262,2013,1,1,1
67282,2013,1,1,1
67264,2013,3,3,3
67446,2013,3,3,3
67266,2013,0,1,0
67268,2013,2,2,2
67317,2013,1,1,1
67326,2013,2,2,2
67331,2013,3,3,3
67332,2013,1,1,1
67359,2013,2,2,2
67341,2013,2,2,2
67346,2013,1,1,1
67848,2013,1,1,1
67357,2013,4,4,4
67387,2013,3,3,3
67858,2013,1,1,1
67455,2013,2,2,2
67456,2013,1,1,1
67393,2013,3,3,3
67410,2013,3,3,3
67572,2013,2,2,2
67665,2013,1,1,1
67411,2013,8,8,8
67432,2013,1,1,1
67853,2013,1,1,1
67772,2013,1,1,1
67449,2013,2,2,0
67459,2013,1,1,1
67462,2013,1,1,1
67465,2013,2,2,0
67460,2013,2,2,2
67463,2013,1,1,1
89671,2003,2,2,2
67468,2013,4,4,4
67470,2013,1,1,1
67580,2013,1,1,1
67700,2013,0,1,0
67816,2013,1,1,0
67746,2013,1,1,1
89641,2002,2,2,2
67798,2013,2,2,2
67830,2013,1,1,1
67832,2013,2,2,2
67821,2013,1,1,1
67828,2013,1,1,1
88102,2002,2,2,2
71891,2007,1,1,1
67873,2013,1,1,1
67875,2013,1,1,1
67889,2013,1,1,0
67905,2013,1,1,1
72213,2008,2,2,2
87408,1989,6,6,6
72363,2007,2,2,2
68002,2013,1,1,1
71837,2008,1,1,1
89659,2002,5,5,5
68265,2013,1,1,1
95613,2005,7,7,7
68146,2013,1,1,1
68123,2013,1,1,1
89668,2003,6,6,6
71838,2008,1,1,1
68230,2013,1,1,1
68236,2013,1,1,1
87506,2001,2,2,2
68380,2013,2,2,2
68379,2013,1,1,1
68328,2013,1,1,1
68369,2013,2,2,2
68400,2013,1,1,1
84499,1990,1,1,1
89669,2003,5,5,5
87508,2001,0,2,0
84565,2004,1,1,1
88103,2003,1,1,1
89672,2003,1,1,1
71774,2008,1,1,1
72968,2008,2,2,2
84566,2004,3,3,3
71756,2007,4,4,4
71757,2007,1,1,1
71758,2007,1,1,1
71762,2007,1,1,1
71763,2007,1,1,1
71765,2007,1,1,1
71766,2007,1,1,1
71777,2008,2,2,2
71779,2008,1,1,1
71784,2008,1,1,1
71803,2008,1,1,1
71804,2008,1,1,1
71805,2008,1,1,1
71807,2008,0,2,0
71808,2008,5,5,5
71916,2007,2,2,2
71818,2008,3,3,3
71819,2008,12,12,12
71823,2008,5,5,5
71827,2008,2,2,2
71828,2008,1,1,1
71841,2008,1,1,1
71852,2008,1,1,1
71853,2007,1,1,1
71854,2007,1,1,1
71861,2007,0,2,0
71862,2007,4,4,4
71863,2007,1,1,1
71864,2007,1,1,1
71867,2007,1,1,1
